label,city_id
Tenango del Valle,ySJLt27npzQwsktSMvs8DA
Teoloyucan,AwTzcrzyHusGkU76OdqMxA
Teotihuacán,NouG89AzLgqj2SgAjzQNgA
Tepetlaoxtoc,PUGkAeMQ7Ww3FnnKImzjAw
Tepetlixpa,Ni53CNJIqpZvHgeacfgvOQ
Tepotzotlán,1oSH_xKVWCbX9i0P4uExfA
Tequixquiac,_U8lm7yngA74rkLgYIijVA
Texcaltitlán,1TpykHzS1aC2AixsZAuVug
Texcalyacac,9wtEwHJro6bj931zUzIxdg
Texcoco,e4kZmcg3ykNhvFesk17l1Q
Tezoyuca,SbYu9jG7vYtcpmFZya81Tw
Tianguistenco,pXAxmv4pV8JGRKATFpt_rg
Timilpan,vzIEtJZDVzy9dWIpNWSlBg
Tlalmanalco,ZoXoFPMK8vV6-HLnEshECA
Tlalnepantla de Baz,wR-AZfn_FdflrAKqgTETJg
Tlatlaya,0pcxY5XcifjBbwF-ImQaPg
Toluca,_mOiiKY4cJ46VTkdk_hpCw
Tonanitla,XNSiNB13QbrFYnPdg-AZ2g
Tonatico,boWHLcedudAT5rBPpDnvpw
Tultepec,Jx5zu4_BZDXXOhlh0SK8Nw
Tultitlán,CnCLMmzorUUUE84GFPjtLQ
Valle de Bravo,8sVSvMCfuLZBlbpR3YJmcA
Valle de Chalco Solidaridad,3laZm-sXUY1OWXRhue2pXw
Villa Guerrero,aTtOm1RUW2DPZyfj7PkYJQ
Villa Victoria,odbIIOl-P_XVrh9k26nGXA
Villa de Allende,STYXQvXQxL_wzi9soEgkqw
Villa del Carbón,Cmgs5dsu5IYRIZRaKPmstA
Xalatlaco,fET0BXQf0OsalAtt-qMhzA
Xonacatlán,lCQzayvi2SENuNiFQc8I8w
Zacazonapan,qYyUxmf2qojXqe7OhJlT8w
Zacualpan,fTC3uEJF72nI4ce3E16-Rw
Zinacantepec,T4Q4Iz9N7_22G5MPcwkv8Q
Zumpahuacán,okxWOZDXyHJisPSVck21tg
Zumpango,pEAqogXu1ALKi62BNyzsCg
Abasolo,Bda9YetlDk7oSG9Ftfnlag
Agualeguas,06nopR-NqVLaha80OOOh_g
Allende,icrpS3k07PcM9AGh4qG33Q
Anáhuac,BDxIMYxqbE4u04WMki_ZEw
Apodaca,PTScK3HQfDaJV-43aVlEdg
Aramberri,Y-tC_Q3LSQCxWT4URT-TPg
Bustamante,KtSWGHd0T2t_ZRwzzbCLhQ
Cadereyta Jiménez,E5uGKR8F9dHgf4tIQyPQog
Cerralvo,QFBUmj0LjMTz4FHnJFmbdg
China,oiCYyt6vIGMGbPlO3BRYmA
Ciénega de Flores,DT29Y2KrICg7CGvjHB2Olg
Doctor Arroyo,ABZTDuMSp5GhqV975NCCNQ
Doctor Coss,ZTVGKz1bJqJMloBzSfvLcA
Doctor González,JxIlxx0jIGmkBGEyk4wITA
El Carmen,FlTJb-A9VvCdc2bxUm4P0w
Galeana,Tipwcgg52SougerwxFk4-Q
García,i8jB1_23T0F9KYXIPGs6wg
General Bravo,WSX3YJpVaqkUd2O0zV7pwg
General Escobedo,L-KCQzcoDhVK6auXOWbHkA
General Terán,q-uVk18E5GiZLUMNvVYSSw
General Treviño,jb2twsPz0EDs5U5NRiTM4w
General Zaragoza,vQYY2B1oE_D0W68Ns7lKwQ
